time,delta0,delta1,delta2,delta3,delta4
421,-6,-7,-2,-2,0
422,-6,-7,0,-2,-1
423,-6,-7,0,-2,-1
424,-4,-5,1,1,-4
425,-4,-4,2,1,-4
426,-4,-4,2,1,-4
427,-4,-4,1,4,3
428,-4,-3,0,4,4
429,-4,-3,1,4,4
430,3,-1,1,10,4
431,4,-1,8,11,8
432,4,-1,8,11,8
433,2,-1,9,16,17
434,2,0,9,16,19
435,2,0,9,16,19
436,3,3,13,20,22
437,3,6,16,25,31
438,3,6,16,26,40
439,6,6,16,32,44
440,6,10,21,37,59
441,7,10,21,41,63
442,10,10,22,52,67
443,11,10,23,58,81
444,11,10,23,60,84
445,11,13,23,66,86
446,11,14,23,75,100
447,11,17,23,80,100
448,11,17,22,92,99
449,11,15,22,93,94
450,8,9,22,99,94
451,11,11,29,101,77
452,11,11,29,117,77
453,11,11,29,117,76
454,11,11,29,123,71
455,11,11,34,127,60
456,11,9,34,127,60
457,11,6,36,129,45
458,11,6,44,131,42
459,11,6,47,131,42
460,13,10,49,131,31
461,13,10,68,129,31
462,13,10,86,118,31
463,13,11,89,94,32
464,13,11,104,92,32
465,13,11,104,83,32
466,18,18,95,62,32
467,18,21,94,62,32
468,18,21,83,62,32
469,18,21,64,47,29
470,18,21,64,47,29
471,18,38,57,47,29
472,15,39,35,35,28
473,14,39,33,27,16
474,14,34,31,23,16
475,9,11,26,17,9
476,7,6,18,8,5
477,3,-1,17,8,5
478,-2,-3,11,7,4
479,-2,-3,9,7,0
480,-2,-3,9,7,0
481,-1,-3,7,6,0
482,-2,-4,1,4,-3
