time,delta0,delta1,delta2,delta3,delta4
50,1,1,0,3,2
51,1,5,3,3,5
52,-1,5,3,3,5
53,-1,-1,3,1,5
54,-2,-1,1,1,-1
55,-2,-1,1,1,-1
56,-2,2,1,4,-1
57,-2,-3,-2,5,-1
58,-3,-3,-3,5,-1
59,-3,-3,-3,4,-1
60,-5,-3,-5,4,-1
61,-3,-3,-5,4,-1
62,-3,-3,-5,6,-1
63,-3,-1,1,5,2
64,-3,-1,1,5,2
65,-3,-1,1,5,2
66,0,3,2,5,5
67,2,3,2,5,5
68,2,4,4,5,5
69,3,5,5,7,9
70,3,5,5,7,9
71,3,5,5,7,9
72,0,4,5,9,7
73,3,4,5,9,7
74,3,4,5,9,7
75,3,8,5,11,12
76,4,8,5,11,12
77,4,8,5,11,12
78,6,6,6,17,11
79,6,6,6,17,11
80,6,3,6,17,11
81,3,3,6,20,19
82,7,5,6,20,19
83,7,5,6,22,19
84,7,5,11,23,26
85,10,5,11,23,26
86,10,5,11,23,26
87,10,7,10,28,31
88,13,7,10,29,34
89,13,7,10,34,34
90,14,9,19,38,52
91,14,9,19,38,52
92,14,9,19,44,52
93,15,11,20,48,61
94,19,11,20,48,61
95,19,11,20,54,61
96,19,10,22,57,77
97,20,10,22,57,83
98,20,10,22,62,83
99,20,13,22,70,98
100,23,13,22,70,98
101,23,13,22,70,99
102,23,13,27,83,108
103,19,13,27,85,108
104,19,13,27,94,108
105,19,13,30,98,108
106,19,13,30,98,108
107,22,13,30,101,93
108,23,13,32,112,91
109,23,13,33,125,91
110,23,14,35,139,86
111,25,12,49,163,78
112,25,12,51,179,77
113,25,12,51,186,75
114,36,15,70,192,67
115,36,15,70,192,64
116,36,15,73,192,64
117,36,15,84,187,60
118,27,14,90,183,59
119,27,14,91,183,59
120,27,14,113,178,57
121,27,14,114,170,55
122,27,14,119,157,55
123,31,21,133,149,54
124,31,21,135,121,54
125,31,22,136,113,54
126,36,27,153,108,59
127,36,27,153,96,59
128,38,27,139,83,59
129,40,37,119,82,62
130,40,38,94,72,62
131,35,38,71,70,57
132,35,38,69,60,53
133,35,38,59,60,53
134,35,38,53,59,50
135,35,38,52,56,42
136,33,32,41,44,41
137,24,23,27,30,21
138,21,12,27,29,13
139,16,6,23,18,13
140,11,6,19,10,13
141,11,6,17,8,7
142,11,6,15,8,7
143,12,4,12,8,7
144,2,-1,5,6,1
145,2,-1,4,5,1
146,2,-1,4,5,1
147,6,4,4,2,2
148,6,4,4,2,2
149,6,4,6,2,2
150,8,4,5,1,1
151,8,4,5,1,1
