time,delta0,delta1,delta2,delta3,delta4
370,-1,-9,-5,-2,-5
371,-1,-9,-5,-2,-5
372,1,-8,1,0,-3
373,1,-8,3,0,-3
374,1,-8,3,0,-3
375,2,-6,3,-1,-4
376,2,-6,-2,-1,-4
377,2,-6,-2,-1,-4
378,0,-5,3,2,1
379,-1,-5,3,2,1
380,-1,-5,3,2,1
381,1,-6,-2,3,3
382,1,-6,2,3,3
383,1,-6,2,3,3
384,0,-6,2,7,7
385,0,-2,2,7,7
386,0,-2,2,7,7
387,4,-2,9,9,13
388,4,-2,9,9,13
389,4,-2,9,9,13
390,6,7,7,26,27
391,10,7,10,26,30
392,10,7,10,26,30
393,13,3,12,36,55
394,13,6,12,39,56
395,13,6,12,39,56
396,20,7,22,53,82
397,20,7,22,58,84
398,20,7,22,59,91
399,19,10,27,75,116
400,19,10,27,75,116
401,19,10,27,76,116
402,19,10,22,87,109
403,19,10,22,87,106
404,19,10,22,87,106
405,20,6,28,110,94
406,20,6,28,114,90
407,20,6,28,121,83
408,21,9,39,142,72
409,21,9,39,142,59
410,21,9,39,142,59
411,21,9,48,140,53
412,21,9,48,140,53
413,17,7,48,140,52
414,17,7,60,134,36
415,17,7,62,131,36
416,17,7,63,125,36
417,20,7,85,120,35
418,20,12,95,100,35
419,20,12,95,82,35
420,23,12,95,77,32
421,23,16,91,58,32
422,18,16,68,53,32
423,18,16,66,46,28
424,18,16,53,39,28
425,18,16,40,39,28
426,18,16,39,30,18
427,18,15,26,19,15
428,15,10,23,19,15
429,10,7,13,10,4
430,0,-4,10,3,1
431,0,-4,10,3,1
432,0,-2,6,-1,-2
433,-3,-2,0,-1,-2
434,-3,-2,0,-1,-2
