time,delta0,delta1,delta2,delta3,delta4
229,0,-3,7,0,-1
230,0,-3,7,0,-1
231,1,-2,-4,2,-1
232,1,-2,-4,2,-1
233,1,-2,-4,2,-1
234,2,-3,3,2,-2
235,2,-3,3,2,-2
236,2,-3,3,2,-2
237,3,-2,3,3,2
238,3,-2,3,3,2
239,3,-2,3,3,2
240,2,1,8,4,3
241,2,1,8,4,3
242,2,1,8,4,3
243,4,-1,5,8,9
244,4,-1,5,8,9
245,4,-1,5,8,9
246,7,2,10,19,23
247,7,2,10,19,23
248,7,2,10,19,23
249,21,6,17,41,52
250,21,8,17,45,60
251,21,8,17,47,64
252,18,9,21,63,88
253,18,10,22,63,89
254,18,10,22,64,89
255,23,15,30,85,113
256,23,15,30,85,113
257,23,15,30,85,113
258,23,15,29,98,113
259,23,15,29,98,113
260,23,15,29,98,113
261,21,11,34,116,106
262,21,11,34,119,106
263,21,11,34,120,95
264,29,8,38,142,88
265,29,8,38,142,76
266,30,8,38,142,67
267,30,16,48,150,58
268,30,16,48,150,58
269,30,16,48,145,58
270,30,16,53,136,51
271,28,6,53,134,51
272,28,6,55,125,51
273,28,6,60,122,38
274,28,6,64,111,38
275,26,8,66,103,38
276,24,11,83,92,34
277,24,11,83,86,34
278,24,11,86,79,34
279,28,16,90,76,39
280,28,16,90,70,39
281,21,14,87,67,39
282,21,14,87,60,43
283,21,14,83,60,43
284,21,14,75,60,43
285,28,28,66,51,35
286,28,28,53,51,35
287,27,24,38,42,32
288,16,21,37,30,23
289,14,14,20,26,17
290,9,7,18,13,11
291,8,2,15,6,5
292,8,-3,8,3,-4
293,7,-3,6,3,-4
294,2,-3,5,1,-2
295,2,-4,5,1,1
296,2,-4,5,1,1
297,5,-4,-2,1,2
298,5,-4,0,1,2
