time,delta0,delta1,delta2,delta3,delta4
197,0,-2,3,5,-5
198,0,-4,3,3,0
199,-1,-5,3,3,0
200,-1,-5,5,3,0
201,-2,-2,0,1,-3
202,-1,-2,4,2,-3
203,-1,-2,4,2,-3
204,-1,1,4,7,-1
205,-2,1,2,7,-1
206,-2,1,2,7,-1
207,2,2,2,8,3
208,2,2,3,8,3
209,2,2,3,8,3
210,2,2,6,16,12
211,3,2,8,16,12
212,3,3,8,16,12
213,4,3,13,18,18
214,6,3,15,22,18
215,7,3,15,23,22
216,8,3,15,26,27
217,8,11,15,26,27
218,8,11,15,26,27
219,6,10,16,35,40
220,6,10,17,35,41
221,6,10,17,35,41
222,10,10,17,46,57
223,10,10,21,47,60
224,10,12,21,47,64
225,9,12,21,60,69
226,9,13,21,60,69
227,9,14,21,62,69
228,13,13,26,67,77
229,13,12,26,69,77
230,14,12,29,71,77
231,9,12,28,86,73
232,9,14,29,87,67
233,9,14,29,87,67
234,13,17,30,101,66
235,13,17,32,104,63
236,13,17,32,106,63
237,13,17,33,110,60
238,13,17,38,110,56
239,13,15,38,110,50
240,12,12,44,117,48
241,12,9,46,119,42
242,12,12,54,120,42
243,13,11,61,127,38
244,14,11,69,127,37
245,14,11,78,127,37
246,17,14,89,127,38
247,20,14,100,123,38
248,20,14,111,122,38
249,20,21,117,121,38
250,18,22,120,100,38
251,21,22,121,87,38
252,22,29,121,82,36
253,22,31,103,68,39
254,18,31,77,61,39
255,18,31,66,53,39
256,18,31,61,50,34
257,18,31,53,48,34
258,18,31,41,44,34
259,15,28,33,31,21
260,12,14,29,24,14
261,7,9,22,21,13
262,3,-2,18,12,3
263,3,-2,15,12,3
264,2,-4,14,6,3
265,2,-5,10,5,-1
266,1,-5,7,5,-1
