time,delta0,delta1,delta2,delta3,delta4
273,-7,-3,1,-2,-3
274,-3,-3,0,0,-6
275,-3,-3,0,0,-6
276,-3,-4,0,0,-6
277,-2,-8,6,2,-6
278,-2,-8,3,2,-6
279,0,-4,3,2,-4
280,0,-4,3,4,-3
281,0,-4,6,4,-3
282,-1,-4,6,4,-3
283,-1,-3,1,3,4
284,-1,-3,1,3,4
285,-1,-3,5,6,4
286,-1,-2,6,11,9
287,-1,-2,7,11,9
288,2,-1,6,11,9
289,2,0,10,12,10
290,2,3,10,12,14
291,5,0,10,12,14
292,5,1,10,17,20
293,5,1,10,17,20
294,5,1,14,22,20
295,5,6,15,23,24
296,5,6,15,23,24
297,5,6,15,26,34
298,8,5,19,30,41
299,9,5,19,30,42
300,9,5,20,44,42
301,8,6,20,44,49
302,8,6,20,44,58
303,8,11,20,56,58
304,11,11,24,60,58
305,11,11,25,61,58
306,11,11,25,65,58
307,7,13,25,68,56
308,7,13,26,75,56
309,8,13,26,81,56
310,8,14,30,84,46
311,8,15,30,85,46
312,8,15,33,93,46
313,10,15,34,98,37
314,12,15,42,98,37
315,12,16,45,98,37
316,11,16,47,91,36
317,11,16,56,91,36
318,15,15,65,90,36
319,15,22,67,82,33
320,15,22,78,78,33
321,18,28,78,77,33
322,18,28,70,56,38
323,18,28,67,52,34
324,18,33,54,50,34
325,13,33,32,32,21
326,11,29,25,27,18
327,10,21,21,23,18
328,6,11,14,14,9
329,5,6,12,11,8
330,3,4,6,9,8
331,3,2,6,9,2
332,1,-2,5,6,1
333,1,-2,1,4,0
334,1,-2,1,4,-3
335,-2,-2,4,3,-4
336,-2,-5,4,3,-4
337,-2,-2,3,1,-6
338,-2,-5,3,1,-6
339,-5,-5,3,1,-6
340,-6,-5,2,1,-5
341,-6,0,2,1,-5
