delta1,delta2,delta3,delta4
0004,0005,0006,0004,
-004,0001,0001,0003,
-004,0001,0001,0003,
-004,0001,0001,0003,
0002,-001,-001,0000,
0002,-001,-001,0000,
0002,-001,-001,0000,
0001,0003,0004,0004,
0001,0003,0004,0004,
0001,0003,0004,0004,
0003,0004,0004,0005,
0003,0004,0004,0005,
0003,0004,0004,0005,
0001,0000,0003,0002,
0001,0000,0003,0002,
0001,0000,0003,0002,
0003,0005,0003,0003,
0003,0005,0003,0003,
0003,0005,0003,0003,
0001,0007,0006,0002,
0001,0007,0006,0002,
0001,0007,0006,0002,
0001,0000,0000,0002,
0001,0000,0000,0002,
0001,0000,0000,0002,
0000,0002,0002,-002,
0000,0002,0002,-002,
0000,0002,0002,-002,
-001,0002,0000,0000,
-001,0002,0000,0000,
