delta1,delta2,delta3,delta4
0005,0003,0006,0003,
0005,0003,0006,0003,
0000,0001,0002,0004,
0000,0001,0002,0004,
0000,0001,0002,0004,
0001,0001,-003,-001,
0001,0001,-003,-001,
0001,0001,-003,-001,
0004,0002,0001,0002,
0004,0002,0001,0002,
0004,0002,0001,0002,
0000,-002,-001,0002,
0000,-002,-001,0002,
0000,-002,-002,0002,
0000,0000,-001,0001,
0000,0000,-001,0001,
-001,0000,-001,0001,
0000,0001,-003,-001,
0000,0001,-003,-001,
0000,0001,-003,-001,
0001,0002,-003,0002,
0001,0002,-003,0002,
0001,0002,-003,0002,
-004,-003,-002,-001,
-004,-003,-002,-001,
-004,-003,-002,-001,
-001,-004,-003,0000,
-001,-004,-003,0000,
-001,-004,-003,0000,
0004,0005,0004,0002,
