delta1,delta2,delta3,delta4
0005,0003,0004,0004,
-003,-004,0003,-001,
-003,-004,0003,-001,
0000,-004,0003,-001,
0000,0002,0005,0004,
0000,0002,0005,0004,
0002,0002,0005,0004,
0002,0003,0000,-004,
0002,0003,0000,-004,
0002,0003,0000,-003,
0002,0002,0004,0002,
0002,0002,0004,0002,
0000,0002,0004,0002,
0000,-001,-001,0002,
0000,-001,-001,0002,
0000,-001,-001,0002,
-003,0001,-002,0002,
-003,0001,-002,0002,
-003,0001,-002,0002,
0004,0002,0004,0004,
0004,0002,0004,0004,
0004,0002,0004,0004,
0000,0001,-001,0000,
0000,0001,-001,0000,
0000,0001,-001,0000,
0003,0005,0007,0005,
0003,0005,0007,0005,
0003,0005,0007,0005,
0001,0004,0006,0004,
0001,0004,0006,0004,
