delta1,delta2,delta3,delta4
0001,0002,0005,0002,
0001,0002,0005,0002,
-002,-004,-003,0002,
-002,-004,-003,0002,
-002,-004,-003,0002,
0000,-001,0000,-001,
0000,0000,0000,0000,
0000,0000,0000,0000,
-001,0001,0000,0002,
-001,0001,0000,0002,
-001,0001,0000,0002,
0004,0001,0001,0001,
0004,0001,0001,0001,
0004,0001,0001,0001,
0003,-001,0000,0001,
0003,-001,0000,0001,
0003,-001,0000,0001,
0000,-001,-002,0000,
0000,-001,-002,0000,
0000,-001,-002,0000,
0000,0001,-001,0002,
0000,0001,-001,0002,
0000,0001,-001,0002,
-002,0000,-002,0001,
-002,0000,-002,0001,
-002,0000,-002,0001,
0005,0004,0006,0003,
0005,0004,0006,0003,
0005,0004,0006,0003,
0000,0002,-003,0002,
