delta1,delta2,delta3,delta4
-001,0000,0002,0000,
-001,0000,0002,0000,
0002,0006,0006,0006,
0002,0006,0006,0006,
0002,0006,0006,0006,
0002,0002,0005,0006,
0002,0002,0005,0006,
0002,0002,0005,0006,
0006,0005,0006,0005,
0006,0005,0006,0005,
0006,0005,0006,0005,
0000,0002,0002,0001,
0000,0002,0002,0001,
0000,0002,0002,0001,
0001,0000,0001,0002,
0001,0000,0001,0002,
0002,0000,0001,0002,
0002,0000,-001,0001,
0002,0000,-001,0001,
0000,0000,-001,0001,
0001,0003,-002,0000,
0001,0003,-002,0000,
0001,0003,-002,0000,
0001,0002,0000,0002,
0001,0002,0000,0002,
0007,0002,0000,0002,
0007,0002,0000,0000,
0007,0002,0000,0000,
0002,0002,0000,0000,
0000,0002,-001,0002,
