delta1,delta2,delta3,delta4
-002,0003,0004,0000,
-002,0003,0004,0000,
0005,0002,0005,0005,
0005,0002,0005,0005,
0005,0002,0005,0005,
-001,0000,0000,-002,
-001,0000,0000,-002,
0000,0000,0000,-001,
0002,-002,0003,0002,
0002,-002,0003,0002,
0002,-002,0003,0002,
0000,-003,-003,0000,
0000,-003,-003,0000,
0000,-003,-003,0000,
0003,0006,0004,0005,
0003,0006,0004,0005,
0003,0006,0004,0005,
0006,0005,0005,0007,
0006,0005,0005,0007,
0006,0005,0005,0007,
0006,0003,0009,0005,
0006,0003,0009,0005,
0006,0003,0009,0005,
0005,0004,0006,0003,
0005,0004,0006,0003,
0004,0004,0006,0003,
0001,-002,0001,0002,
0001,-002,0001,0002,
0001,-002,0001,0002,
0000,0000,0001,0002,
