delta1,delta2,delta3,delta4
0002,0000,0003,0000,
0002,0000,0003,0000,
0002,0000,0003,0000,
0002,0006,0005,0004,
0002,0006,0005,0004,
0002,0006,0005,0004,
0003,0001,0003,0001,
0003,0001,0003,0001,
0003,0001,0003,0001,
-001,0002,-003,0000,
-001,0002,-003,0000,
0000,0002,-003,0000,
0004,0006,0007,0002,
0004,0006,0007,0002,
0004,0006,0007,0002,
0004,0004,0005,0004,
0004,0004,0005,0004,
0004,0004,0005,0004,
0002,0002,0001,0000,
0002,0002,0001,0000,
0002,0002,0001,0000,
0000,-001,-001,-003,
0000,-001,-001,-003,
0000,-001,-001,-003,
0006,0007,0005,0001,
0006,0007,0005,0001,
0006,0007,0005,0001,
0001,-003,-003,-001,
0001,-003,-003,-001,
0002,-003,-003,-001,
