delta1,delta2,delta3,delta4
0006,0003,0009,0001,
0005,0004,0008,0002,
0005,0004,0008,0002,
0005,0004,0008,0002,
0000,0000,0000,-001,
0000,0000,0000,-001,
0000,0000,0000,-001,
0003,0005,0005,0000,
0003,0005,0005,0000,
0003,0005,0005,0000,
-002,0002,0001,-002,
-002,0002,0001,-002,
-002,0002,0001,-002,
0001,0000,0005,0002,
0001,0000,0005,0002,
0001,0000,0005,0002,
0000,0004,0008,0003,
0000,0004,0008,0003,
0000,0004,0008,0003,
0003,0003,0007,0002,
0003,0003,0007,0002,
0003,0003,0007,0002,
0000,0001,-002,-002,
0000,0001,-002,-002,
0000,0001,-002,-002,
0005,0005,0007,-001,
0005,0005,0007,-001,
0005,0005,0007,-001,
0002,0001,0007,0000,
0002,0001,0007,0000,
