delta1,delta2,delta3,delta4
0002,0002,0000,0000,
0002,0002,0000,0000,
0002,0006,0003,0003,
0002,0006,0003,0003,
0002,0006,0003,0003,
0002,0000,0002,0002,
0002,0000,0002,0002,
0002,0000,0002,0002,
0003,0004,0004,0003,
0003,0004,0004,0003,
0003,0004,0004,0003,
0003,0003,0004,0004,
0003,0003,0004,0004,
0003,0003,0004,0004,
0003,0000,-001,0000,
0003,0000,-001,0000,
0003,0000,-001,0000,
0004,0005,0006,0004,
0004,0005,0006,0004,
0004,0005,0006,0004,
0002,0001,0004,0004,
0002,0001,0004,0004,
0002,0001,0004,0004,
0001,-003,0002,0001,
0001,-003,0002,0001,
0001,-003,0002,0001,
0006,0008,0006,0004,
0006,0008,0006,0004,
0006,0008,0006,0004,
-001,0002,0003,0000,
