delta1,delta2,delta3,delta4
-001,-001,0001,0001,
-003,-001,0001,0001,
0000,-002,0005,0001,
0000,-002,0005,0001,
0000,-002,0005,0001,
-001,-004,0005,-001,
-001,-004,0005,-001,
0000,-004,0005,-001,
0005,0004,0005,0001,
0005,0004,0005,0001,
0005,0004,0005,0001,
0003,0001,0003,-001,
0003,0001,0003,-001,
0003,0001,0003,-001,
0003,0005,0007,0003,
0003,0005,0007,0003,
0003,0005,0007,0003,
-001,0001,0005,-003,
-001,0001,0005,-003,
-003,0001,0005,-003,
0000,-002,-001,-001,
0000,-002,-001,-001,
0000,-002,-001,-001,
0004,0005,0007,0004,
0004,0005,0007,0004,
0004,0005,0007,0004,
0000,0001,0004,0001,
0000,0001,0004,0001,
0001,0001,0004,0001,
0001,-002,0002,-001,
