delta1,delta2,delta3,delta4
0002,-003,-004,0002,
-002,-003,-005,0002,
-002,-003,0003,0003,
-002,-003,0003,0003,
-003,-003,0003,0003,
0000,0003,0002,0000,
0000,0003,0002,0000,
0000,0003,0002,0000,
0001,0004,0005,0002,
0001,0004,0005,0002,
0001,0004,0005,0002,
-003,0002,-001,0000,
-003,0002,-001,0000,
-003,0002,-001,0000,
0003,0004,0006,0003,
0003,0004,0006,0003,
0003,0004,0006,0003,
0002,0002,0004,0002,
0002,0002,0004,0002,
0002,0002,0004,0002,
0002,0003,0004,0003,
0002,0003,0004,0003,
0002,0003,0004,0003,
-002,-004,0000,0002,
-002,-004,0000,0002,
-002,-004,0000,0002,
0004,0006,0004,0002,
0004,0006,0004,0002,
0004,0006,0004,0002,
0000,-002,0001,0002,
