delta1,delta2,delta3,delta4
-001,-001,0006,-003,
-001,-001,0006,-003,
-002,-002,0003,-001,
-002,-002,0003,-001,
-003,-002,0003,-001,
0000,-002,0004,0000,
0000,-002,0004,0000,
0000,-002,0004,0000,
0000,-003,0001,0001,
0000,-003,0001,0001,
0000,-003,0001,0001,
0003,0002,0008,0003,
0003,0002,0008,0003,
0003,0002,0008,0003,
0004,0004,0010,0005,
0004,0004,0010,0005,
0004,0004,0010,0005,
-002,-004,0002,-003,
-002,-004,0002,-003,
-002,-004,0002,-003,
0003,0003,0007,0003,
0003,0003,0007,0003,
0002,0002,0006,0002,
-002,-001,0000,-003,
-002,-001,0000,-003,
-002,-001,0000,-003,
-001,-001,0001,-004,
-001,-001,0001,-004,
-001,-001,0001,-004,
-003,-001,0004,-001,
