time,delta0,delta1,delta2,delta3,delta4
0,0015,0017,0033,0047,0041,
1,0025,0024,0039,0055,0054,
2,0028,0027,0046,0072,0062,
3,0044,0030,0058,0081,0071,
4,0044,0031,0058,0081,0071,
5,0036,0031,0048,0072,0065,
6,0035,0031,0047,0062,0062,
7,0016,0014,0025,0040,0036,
8,0016,0014,0024,0035,0035,
9,0015,0013,0023,0032,0034,
10,0007,0009,0008,0011,0012,
11,0007,0009,0008,0011,0012,
12,0007,0009,0008,0009,0012,
13,0008,0008,0008,0004,0006,
14,0008,0008,0008,0004,0006,
15,0008,0008,0008,0003,0006,
16,0005,0007,0005,0006,0010,
17,0005,0007,0005,0006,0010,
18,0005,0007,0005,0006,0010,
19,0002,0006,0001,0004,0008,
20,0002,0006,0001,0004,0008,
21,0002,0006,0001,0004,0008,
22,0003,0007,0005,0002,0006,
23,0003,0007,0005,0002,0006,
24,0003,0007,0005,0002,0006,
25,0006,0008,0003,0006,0007,
26,0006,0008,0003,0006,0007,
27,0006,0008,0003,0006,0007,
28,0002,0004,0004,0002,0003,
29,0002,0004,0004,0002,0003,
