time,delta0,delta1,delta2,delta3,delta4
0,0011,0012,0021,0029,0029,
1,0020,0019,0041,0055,0044,
2,0027,0028,0043,0056,0054,
3,0037,0036,0056,0088,0086,
4,0041,0037,0065,0096,0086,
5,0045,0037,0065,0096,0084,
6,0041,0036,0055,0088,0081,
7,0035,0029,0047,0065,0067,
8,0014,0014,0026,0035,0036,
9,0014,0014,0026,0035,0036,
10,0012,0014,0026,0035,0036,
11,0012,0012,0018,0015,0017,
12,0011,0012,0018,0015,0017,
13,0011,0012,0018,0015,0017,
14,0007,0009,0010,0004,0007,
15,0007,0009,0010,0004,0007,
16,0007,0009,0010,0004,0007,
17,0003,0008,0002,0004,0006,
18,0003,0008,0002,0004,0006,
19,0003,0008,0002,0004,0006,
20,0006,0007,0006,0002,0001,
21,0006,0007,0006,0002,0001,
22,0006,0007,0006,0002,0001,
23,0002,0005,0001,0006,0006,
24,0002,0005,0001,0006,0006,
25,0002,0005,0001,0006,0006,
26,0002,0005,0003,0003,0004,
27,0002,0005,0003,0003,0004,
28,0002,0005,0003,0003,0004,
29,0000,0001,0001,0003,0002,
