time,delta0,delta1,delta2,delta3,delta4
0,0020,0019,0031,0038,0038,
1,0020,0019,0038,0046,0040,
2,0031,0026,0043,0061,0056,
3,0029,0026,0043,0068,0056,
4,0029,0026,0043,0068,0056,
5,0014,0013,0021,0028,0028,
6,0012,0013,0021,0026,0027,
7,0012,0013,0020,0022,0027,
8,0001,0002,0005,0005,0007,
9,0001,0002,0005,0005,0007,
10,0001,0002,0005,0005,0007,
11,-002,0001,0002,0001,0002,
12,-002,0001,0002,0001,0002,
13,-002,0001,0002,0001,0002,
14,-001,0006,0006,-001,-001,
15,-001,0006,0006,-001,-001,
16,-001,0006,0006,-001,-001,
17,0003,0000,0002,0004,0003,
18,0004,0000,0002,0004,0003,
19,0004,0000,0002,0004,0003,
20,-001,-002,0003,-003,0001,
21,-001,-002,0003,-003,0001,
22,-001,-002,0003,-003,0001,
23,0001,0000,0001,0003,0003,
24,0001,0000,0001,0003,0003,
25,0001,0000,0001,0003,0003,
26,-001,0005,0007,-003,-002,
27,-001,0005,0007,-003,-002,
28,-001,0005,0007,-003,-002,
29,-004,-001,-001,0001,-001,
