time,delta0,delta1,delta2,delta3,delta4
0,0038,0031,0053,0086,0075,
1,0038,0031,0053,0086,0075,
2,0035,0026,0042,0074,0063,
3,0021,0020,0035,0053,0051,
4,0021,0020,0034,0053,0051,
5,0007,0008,0014,0019,0020,
6,0007,0008,0012,0013,0012,
7,0007,0008,0012,0013,0012,
8,0003,0003,0004,0007,0005,
9,0002,0003,0004,0007,0005,
10,0002,0003,0004,0007,0005,
11,0000,0000,-003,0005,0000,
12,0000,0000,-003,0005,0000,
13,0000,0000,-003,0005,0000,
14,0000,0002,0000,0005,0000,
15,0000,0002,0000,0004,0000,
16,0000,0002,0000,0004,0000,
17,0003,0003,0001,0004,0004,
18,0002,0003,0001,0002,0003,
19,0002,0003,0001,0002,0003,
20,0000,0005,0002,0001,0001,
21,0000,0005,0000,0001,0001,
22,0000,0005,0000,0001,0001,
23,0001,0000,0000,0005,0003,
24,0002,0000,0001,0004,0003,
25,0002,0000,0001,0004,0003,
26,-001,0001,-002,0001,0000,
27,-001,0001,-002,0001,0000,
28,-001,0001,-002,0001,0000,
29,0001,0002,0000,0003,0003,
