time,delta0,delta1,delta2,delta3,delta4
0,0010,0012,0025,0032,0027,
1,0023,0025,0043,0053,0050,
2,0026,0022,0041,0057,0056,
3,0026,0022,0041,0057,0056,
4,0009,0009,0016,0023,0027,
5,0009,0009,0016,0016,0016,
6,0009,0009,0016,0016,0016,
7,0005,0003,0002,0006,0010,
8,0003,0003,0002,0006,0010,
9,0003,0003,0002,0006,0010,
10,0000,0002,0007,0005,0002,
11,0000,0001,0000,0004,0001,
12,0000,0001,0000,0004,0001,
13,0001,-003,-002,-003,0000,
14,0001,-003,-002,-003,0000,
15,0001,-003,-002,-003,0000,
16,0000,0003,0000,0000,-003,
17,0000,0003,0001,0000,-003,
18,0000,0003,0001,0000,-003,
19,0001,-004,-002,-003,-001,
20,0001,-004,-002,-003,-001,
21,0001,-004,-002,-003,-001,
22,0002,-002,-001,0002,0002,
23,0002,-002,-001,0002,0004,
24,0002,-002,-001,0002,0004,
25,0005,0000,0003,0002,0000,
26,0001,0000,0002,-001,0000,
27,0001,0000,0002,-001,0000,
28,0000,0000,0000,-001,0003,
29,0000,0000,0000,0002,0003,
