time,delta0,delta1,delta2,delta3,delta4
0,0020,0019,0038,0048,0040,
1,0027,0027,0043,0059,0052,
2,0027,0026,0043,0059,0052,
3,0027,0026,0043,0059,0052,
4,0022,0013,0028,0042,0041,
5,0022,0013,0028,0041,0041,
6,0022,0013,0028,0041,0041,
7,0012,0011,0016,0019,0018,
8,0012,0011,0016,0019,0018,
9,0012,0011,0016,0019,0018,
10,0001,0005,0005,0007,0007,
11,0001,0005,0005,0007,0007,
12,0001,0005,0005,0007,0007,
13,0000,0005,0005,0007,0006,
14,0000,0005,0005,0007,0006,
15,0000,0005,0005,0007,0006,
16,-001,0001,0006,0004,-001,
17,-001,0001,0006,0004,-001,
18,-001,0001,0006,0004,-001,
19,0002,0001,0002,0002,0002,
20,0002,0001,0002,0002,0002,
21,0002,0001,0002,0002,0002,
22,0000,-001,0006,-001,-001,
23,0000,0000,0006,0000,0000,
24,0000,0000,0006,0000,0000,
25,-003,0000,0005,-001,-001,
26,-003,0000,0005,-001,-001,
27,-003,0000,0005,-001,-001,
28,-003,0002,0003,0004,-001,
29,-003,0002,0003,0004,-001,
