time,delta0,delta1,delta2,delta3,delta4
0,0022,0018,0031,0048,0042,
1,0034,0028,0050,0080,0067,
2,0041,0030,0057,0089,0072,
3,0050,0031,0057,0092,0082,
4,0041,0030,0057,0089,0073,
5,0041,0028,0050,0081,0073,
6,0023,0016,0029,0048,0044,
7,0023,0016,0029,0047,0043,
8,0023,0016,0029,0046,0043,
9,0011,0007,0012,0024,0022,
10,0011,0007,0012,0022,0022,
11,0011,0007,0012,0022,0022,
12,0005,0003,0006,0008,0008,
13,0005,0003,0006,0008,0008,
14,0005,0003,0006,0008,0008,
15,0008,0002,0008,0005,0005,
16,0008,0002,0008,0005,0005,
17,0008,0002,0008,0005,0005,
18,0005,0000,0002,0006,0006,
19,0005,0000,0002,0006,0006,
20,0005,0000,0002,0006,0006,
21,0005,0002,0004,0004,0001,
22,0008,0002,0004,0004,0001,
23,0008,0002,0004,0004,0001,
24,0002,0000,-001,0001,0001,
25,0002,0000,-001,0001,0001,
26,0002,0000,-001,0001,0001,
27,0000,-002,0000,0000,0003,
28,0000,-002,0000,0000,0003,
29,0000,-002,0000,0000,0003,
