delta1,delta2,delta3,delta4
00002,00002,00001,00001
00004,00001,00002,00001
00003,00002,00002,-0001
00005,00002,00001,00001
00004,00002,00001,00001
00006,00002,00002,00002
00005,00003,00002,00005
00008,00004,00003,00004
00009,00004,00003,00008
00010,00006,00007,00010
00012,00008,00011,00011
00013,00012,00011,00012
00014,00012,00011,00014
00019,00016,00012,00017
00023,00018,00017,00021
00024,00018,00017,00021
00025,00018,00017,00020
00022,00018,00017,00020
00020,00018,00017,00024
00020,00018,00017,00023
00019,00018,00017,00023
00019,00018,00017,00020
00013,00013,00015,00016
00012,00009,00010,00012
00009,00007,00008,00009
00006,00006,00005,00008
00006,00006,00005,00007
00005,00004,00004,00004
00007,00007,00002,00003
00003,00003,00003,00004
00005,00003,00002,00002
00005,00003,00001,00002
00004,00003,00002,00001
00005,00003,00002,00000
00002,00002,00003,00001
00004,00003,00001,00001
-0001,00001,00002,00000
00003,00003,00003,00001
00004,00001,00001,00001
00001,00001,00001,00001
00002,00004,00002,00002
00003,00002,00001,00000
00003,00003,00001,00001
00002,00000,00003,00002
00001,00000,00000,00000
00003,00004,00001,-0001
00002,00001,00000,00001
00000,00001,00003,00001
00002,00002,00003,00001
00001,00002,00001,-0001
00001,00004,00002,00001
00002,00002,00001,-0001
00002,00002,00001,00000
00002,00000,00003,-0001
00002,00001,00002,00000
