delta1,delta2,delta3,delta4
00000,00002,00000,00000
00001,00003,00001,00000
00002,00003,00000,00001
00002,00002,00001,00002
00000,00002,00000,-0001
00001,00001,00002,00001
-0001,00002,00000,00000
00001,00003,00001,00002
00001,00002,00002,00004
00003,00003,00002,00003
00007,00006,00003,00004
00012,00010,00002,00008
00016,00011,00006,00014
00017,00015,00009,00018
00017,00017,00016,00023
00017,00017,00016,00020
00016,00015,00020,00022
00016,00015,00019,00023
00016,00015,00019,00022
00016,00015,00019,00023
00016,00015,00019,00023
00016,00015,00019,00027
00014,00017,00018,00025
00011,00018,00018,00026
00011,00013,00016,00021
00006,00008,00021,00026
00006,00008,00012,00026
00006,00007,00012,00014
00006,00007,00012,00013
00006,00007,00012,00012
00006,00007,00012,00011
00006,00007,00012,00014
00006,00007,00012,00011
00006,00009,00006,00010
00003,00007,00005,00007
00003,00005,00005,00007
00003,00005,00002,00004
00001,00004,00005,00004
00003,00002,00002,00004
00000,00001,00001,00001
00000,00001,00001,00002
00000,00001,00003,00003
00000,00003,00000,00001
00001,00002,00000,00003
00000,00003,00000,00001
-0003,-0001,-0001,00000
00000,00001,-0001,00001
00002,00000,00004,00002
-0002,00001,00000,00000
00001,00000,-0001,00001
-0001,00000,00001,00001
-0001,00000,-0001,00001
00000,00001,-0001,00000
-0002,00002,00001,-0001
-0002,00003,00001,00002
