delta1,delta2,delta3,delta4
-0002,-0002,00000,00002
00001,00000,00000,00001
00000,00001,-0001,00002
-0002,00000,00000,00002
-0001,-0008,-0001,00002
00001,00000,00001,00003
00002,00001,00001,00003
00005,00003,-0001,00006
00007,00006,00002,00008
00011,00007,00004,00011
00012,00009,00009,00014
00013,00012,00014,00020
00013,00012,00014,00019
00016,00016,00013,00019
00022,00016,00020,00027
00021,00016,00018,00026
00024,00016,00018,00028
00021,00016,00018,00034
00023,00016,00018,00032
00023,00016,00018,00032
00020,00017,00022,00031
00020,00017,00022,00031
00020,00017,00023,00031
00020,00017,00021,00031
00020,00017,00022,00031
00020,00017,00017,00031
00011,00011,00018,00023
00008,00011,00018,00023
00006,00011,00018,00023
00007,00011,00018,00023
00005,00011,00018,00023
00008,00011,00018,00023
00007,00007,00007,00016
00003,00005,00007,00012
00003,00005,00007,00011
00003,00005,00007,00013
00003,00005,00007,00010
00003,00005,00007,00007
00003,00005,00007,00008
00003,00003,00004,00007
00002,00005,00002,00008
00004,00003,00003,00005
-0001,00002,00001,00006
00000,00001,00001,00004
00000,00002,00001,00003
00002,00001,00000,00003
00000,00003,00000,00004
00001,00000,00000,00001
00000,00001,00001,00002
00000,00001,-0001,00002
00000,00001,00000,00004
00000,00000,00000,00001
-0002,-0001,00000,00002
00001,-0002,00000,00002
-0001,00000,00002,00003
