delta1,delta2,delta3,delta4
00004,00004,00003,00000
00003,00000,00000,00001
00003,00001,00000,00000
00004,00001,00001,00002
00002,00002,00003,00001
00003,00003,00001,00000
00003,00003,00002,00001
00004,00002,00000,00000
00004,00003,00001,00003
00008,00003,00001,00002
00007,00010,00005,00004
00016,00010,00005,00010
00016,00012,00009,00015
00018,00016,00017,00018
00023,00020,00026,00028
00021,00019,00027,00030
00025,00019,00031,00026
00018,00019,00021,00035
00018,00019,00030,00033
00018,00019,00029,00033
00028,00022,00030,00035
00027,00023,00030,00035
00030,00028,00030,00035
00030,00026,00030,00035
00036,00033,00030,00035
00037,00027,00030,00035
00034,00030,00028,00041
00032,00030,00031,00040
00028,00028,00031,00036
00020,00022,00029,00033
00017,00016,00021,00025
00012,00013,00016,00022
00013,00012,00016,00022
00010,00010,00016,00022
00012,00009,00016,00022
00012,00007,00016,00022
00010,00012,00016,00022
00009,00008,00009,00014
00009,00008,00009,00013
00009,00008,00008,00011
00009,00008,00007,00010
00009,00008,00006,00009
00009,00008,00005,00008
00006,00005,00005,00008
00006,00006,00004,00007
00005,00008,00002,00005
00003,00004,00003,00005
00004,00004,00001,00001
00001,00003,00002,00004
00002,00002,00002,00002
00003,00003,00000,00002
00002,00003,00001,00000
00002,00004,00001,-0004
00004,00000,00001,00001
00002,00003,00001,00001
