delta1,delta2,delta3,delta4
00003,00046,00006,00008
00003,00050,00006,00008
00001,00060,00019,00014
00004,00080,00023,00014
00004,00080,00027,00014
00004,00080,00025,00014
00004,00080,00025,00014
00004,00080,00027,00014
00004,00080,00023,00014
00004,00097,00022,00013
00007,00063,00019,00013
00005,00041,00015,00011
00005,00041,00010,00011
00005,00041,00010,00011
00005,00041,00009,00011
00005,00041,00006,00011
00005,00041,00007,00011
00003,00001,00004,00003
00003,00010,00004,00003
00003,00010,00004,00003
00003,00006,00004,00003
00003,00003,00004,00003
00003,00007,00004,00003
00002,-0001,00000,00001
00003,00002,00002,00004
-0001,-0004,00003,00003
00000,00000,00002,00000
-0001,00001,00002,00002
00002,00000,00001,00001
00000,00000,-0001,00001
00001,00004,00000,00000
00002,00003,-0001,-0001
00005,00004,00002,00001
00003,-0003,00001,00000
-0001,00002,00002,00001
00004,00000,00001,00001
00002,00007,00005,00003
00003,00003,00001,00000
00004,00009,00004,00002
00000,00004,00005,00002
