time,delta0,delta1,delta2,delta3,delta4
176,0020,0018,0035,0040,0024,
177,0014,0011,0022,0029,0015,
178,0014,0005,0022,0024,0015,
179,0013,0005,0022,0024,0015,
180,0004,0003,0014,0016,0006,
181,0004,0003,0014,0016,0006,
182,0004,0003,0014,0016,0006,
183,0010,0004,0014,0008,0000,
184,0010,0004,0014,0008,0000,
185,0011,0004,0012,0008,0000,
186,0008,0004,0012,0013,0000,
187,0008,0004,0012,0013,0000,
188,0008,0004,0013,0013,0000,
189,0011,0006,0020,0013,0002,
190,0011,0006,0020,0013,0002,
191,0012,0006,0020,0013,0002,
192,0012,0014,0026,0041,0018,
193,0012,0014,0026,0041,0021,
194,0012,0014,0034,0041,0021,
195,0031,0032,0070,0092,0054,
196,0034,0038,0070,0092,0054,
197,0035,0039,0074,0094,0054,
198,0035,0039,0068,0091,0054,
199,0031,0035,0056,0073,0049,
200,0025,0029,0050,0064,0042,
201,0018,0026,0038,0054,0029,
202,0017,0018,0038,0037,0016,
203,0017,0018,0031,0037,0016,
204,0013,0010,0024,0017,0007,
205,0013,0010,0024,0017,0006,
206,0012,0010,0021,0017,0006,
207,0008,0002,0016,0010,0002,
208,0003,0000,0015,0009,0001,
209,0003,0000,0015,0009,0001,
210,0003,0002,0012,0012,0002,
211,0003,0002,0012,0012,0002,
212,0003,0002,0012,0012,0002,
213,0008,-001,0014,0011,0003,
214,0008,-001,0014,0011,0003,
215,0008,-001,0014,0011,0003,
216,0012,0007,0020,0028,0021,
217,0012,0013,0027,0039,0022,
218,0012,0017,0033,0048,0028,
219,0031,0041,0054,0093,0069,
220,0031,0044,0054,0100,0079,
221,0029,0044,0048,0103,0087,
222,0029,0044,0044,0100,0079,
223,0029,0044,0040,0092,0076,
224,0026,0035,0038,0068,0058,
225,0024,0030,0032,0067,0055,
226,0015,0017,0026,0043,0031,
227,0013,0009,0020,0030,0021,
228,0010,0009,0019,0025,0019,
229,0008,-002,0014,0014,0004,
230,0008,-002,0014,0013,0004,
231,0006,-001,0011,0008,0000,
232,0006,0002,0011,0008,0000,
233,0006,0002,0010,0008,0000,
234,0008,0005,0009,0009,0001,
235,0008,0005,0009,0009,0001,
236,0008,0005,0006,0009,0001,
237,0003,0004,0005,0012,0004,
238,0003,0004,0005,0012,0004,
239,0003,0004,0005,0012,0004,
240,0007,0005,0010,0017,0014,
241,0007,0007,0014,0017,0014,
242,0008,0011,0015,0020,0015,
243,0015,0030,0023,0039,0038,
244,0026,0043,0041,0057,0062,
245,0044,0102,0055,0093,0125,
246,0066,0102,0060,0093,0130,
247,0066,0096,0060,0093,0130,
248,0066,0060,0046,0076,0092,
249,0066,0060,0036,0065,0084,
250,0021,0034,0031,0054,0058,
251,0015,0020,0016,0022,0019,
252,0005,0010,0011,0016,0005,
253,0005,0009,0011,0013,0004,
254,0005,0003,0011,0013,0004,
255,-002,-001,-001,0003,-005,
256,-002,-001,-001,0003,-005,
257,-002,-001,-001,0003,-005,
258,-004,-006,-002,-003,-005,
259,-004,-006,-002,-003,-005,
260,-004,-006,-002,-003,-005,
261,-001,-004,-005,-001,-007,
262,-001,-004,-005,-001,-007,
263,-001,-004,-005,-001,-007,
264,-003,-004,-005,-001,-009,
265,-003,-004,-005,-001,-009,
266,-003,-004,-005,-001,-009,
267,-002,-006,-006,0000,-005,
268,-002,-006,-006,0000,-005,
269,-002,-006,-006,0000,-005,
270,0000,0000,-003,-003,-011,
271,0000,0000,-003,-003,-011,
272,0004,0000,-003,-003,-011,
273,0003,0000,-002,-002,-008,
274,0003,0000,-002,-002,-008,
275,0003,0000,-002,-002,-008,
276,-002,0001,0001,-002,-006,
277,-002,0001,0001,-002,-006,
278,-002,0001,-001,-002,-006,
279,-001,-002,-002,0001,-003,
280,-001,-002,-002,0001,-003,
281,-001,-002,-002,0001,-003,
282,0000,0002,-002,0000,-008,
283,0000,0002,-002,0000,-008,
284,0000,0002,-001,0000,-008,
285,-004,-004,-007,-003,-010,
286,-004,-004,-007,-003,-010,
287,-004,-004,-007,-003,-010,
288,-001,-006,-005,0001,-005,
289,-001,-006,-005,0001,-005,
290,-001,-006,-005,0004,-005,
291,-001,-003,-003,-001,-007,
292,-001,-003,-003,-001,-007,
293,-001,-003,-003,-001,-007,
294,-001,-005,0002,0005,-004,
295,-001,-005,0002,0005,-004,
296,-001,-005,0001,0005,-004,
297,0002,-005,0001,0008,0001,
298,0002,-005,0001,0008,0001,
299,0002,-005,0002,0011,0001,
300,0004,0003,0006,0013,0006,
301,0004,0003,0006,0013,0006,
302,0004,0003,0009,0017,0006,
303,0012,0016,0021,0027,0025,
304,0012,0016,0021,0038,0026,
305,0013,0016,0022,0040,0037,
306,0027,0033,0035,0073,0080,
307,0027,0033,0035,0073,0080,
308,0026,0033,0035,0065,0063,
309,0024,0033,0033,0054,0044,
310,0024,0033,0033,0054,0041,
311,0015,0022,0025,0041,0035,
312,0009,0016,0018,0032,0021,
313,0009,0013,0018,0032,0021,
314,0009,0013,0015,0021,0015,
315,0005,0005,0010,0016,0010,
316,0005,0004,0010,0016,0010,
317,0005,0004,0010,0016,0010,
318,0002,0002,0005,0010,0004,
319,0002,0002,0005,0010,0004,
320,0002,0002,0004,0010,0004,
321,0006,0000,0004,0013,0004,
322,0006,0000,0004,0013,0004,
323,0006,0000,0004,0013,0004,
324,0009,0008,0011,0020,0014,
325,0009,0008,0011,0020,0014,
326,0009,0008,0012,0024,0014,
327,0023,0028,0033,0054,0039,
328,0029,0050,0050,0083,0063,
329,0093,0659,0144,0294,0182,
330,0093,0659,0144,0294,0182,
331,0093,0173,0107,0278,0127,
332,0093,0077,0076,0214,0087,
333,0093,0053,0068,0178,0086,
334,0033,0042,0066,0141,0068,
335,0012,0013,0041,0091,0030,
336,0012,0013,0037,0066,0024,
337,0015,0013,0030,0053,0022,
338,0015,0013,0024,0031,0010,
339,0015,0013,0024,0031,0010,
340,0015,0013,0024,0031,0010,
341,0007,0004,0018,0018,0004,
342,0007,-001,0016,0018,0004,
343,0007,-001,0016,0018,0004,
344,0001,-004,0010,0010,-003,
345,0001,-004,0010,0010,-003,
346,0001,-004,0010,0010,-003,
347,0006,-001,0009,0007,-004,
348,0006,-001,0008,0007,-004,
349,0006,-001,0008,0007,-004,
350,0001,-003,0003,0010,0003,
