delta1,delta2,delta3,delta4
-0002,-0006,00002,00000
00001,-0006,00001,00000
00000,-0003,00003,-0001
-0001,-0005,00002,00001
00000,-0004,00000,00000
00003,-0003,00001,00000
00001,-0004,00000,00000
00000,-0004,00002,-0001
00002,-0003,00000,-0001
00003,-0005,00000,00001
00004,-0003,00001,00000
00005,00003,00004,00002
00019,00021,00017,00010
00019,00015,00017,00010
00021,00004,00014,00029
00016,00004,00014,00023
00016,00004,00014,00016
00009,-0001,00005,00012
00005,-0004,00003,00004
00005,-0003,00001,00002
00003,-0004,00000,00002
00003,-0003,00002,00002
00002,-0004,00000,00001
00002,-0003,00000,00001
00003,-0003,00001,00002
00002,-0005,00001,00001
00002,-0003,00002,00002
00000,-0004,00003,00002
00003,-0004,00004,00003
00003,-0004,00002,00002
00001,-0003,00001,00004
00003,-0003,00003,00003
00004,-0003,00003,00003
00005,-0002,00004,00003
00005,-0001,00004,00003
00004,00000,00003,00003
00001,-0003,00002,00001
00004,-0003,00003,00001
00003,-0004,00001,00001
00004,-0007,-0001,-0001
00001,-0003,00001,00001
00001,-0004,00001,00000
00002,-0005,00001,00001
00002,-0004,00001,00000
00002,00002,00003,00000
00000,-0005,00000,00001
00001,-0004,00000,00000
00003,-0005,00000,00001
00001,-0005,00001,00000
00002,-0004,00001,00000
00001,-0007,00002,00001
00002,-0004,00000,-0001
00001,-0006,00002,-0001
00001,-0004,00001,00000
00000,00000,00000,-0001
