delta1,delta2,delta3,delta4
-0001,00001,00000,00001
00000,00000,00001,00003
00000,00000,00002,00002
00000,-0001,00001,00001
00000,00000,00001,00001
00002,00000,00001,00000
00002,00001,00001,00001
00001,00001,00000,00000
00003,-0001,00001,00002
00002,00002,00000,00003
00001,-0002,00006,00003
00005,00001,-0001,00001
00004,00008,00002,00002
00010,00013,00003,00004
00024,00024,00009,00008
00029,00029,00009,00008
00035,00032,00009,00008
00054,00037,00009,00008
00043,00035,00009,00008
00042,00036,00009,00008
00044,00037,00034,00037
00044,00037,00038,00045
00044,00037,00040,00051
00044,00037,00044,00057
00044,00037,00044,00065
00044,00037,00043,00071
00042,00023,00041,00078
00037,00018,00028,00122
00028,00009,00017,00113
00028,00010,00017,00113
00028,00010,00017,00113
00028,00013,00017,00113
00028,00007,00017,00113
00028,00007,00017,00113
00023,00005,00010,00024
00023,00005,00010,00024
00023,00005,00009,00024
00023,00005,00004,00024
00023,00005,00007,00024
00023,00005,00006,00024
00009,00001,00003,00015
00006,00001,00003,00015
00006,00001,00003,00010
00007,00001,00003,00010
00006,00001,00003,00007
00007,00001,00003,00009
00006,00002,00003,00006
00004,00001,00003,00007
00004,00000,00001,00004
00003,00002,00001,00004
00003,00001,00001,00003
00003,00002,00000,00003
00001,00001,00000,00002
00003,-0001,00001,-0001
00002,-0003,00002,-0001
