delta1,delta2,delta3,delta4
00003,00002,-0001,00000
00002,00000,-0001,00001
00002,00000,00000,00002
00003,00001,00000,00002
00001,00001,-0001,00001
00002,00001,-0001,00001
00004,00001,-0001,00002
00003,00000,-0001,00001
00002,00001,-0001,00000
00002,00001,-0001,00003
00003,00002,-0003,00003
00004,00001,-0001,00002
00003,00004,-0001,00002
00009,00012,00000,00004
00022,00023,00010,00012
00026,00023,00010,00012
00020,00013,00010,00012
00015,00002,00010,00012
00008,00003,00000,00008
00003,00001,-0001,00004
00003,00001,-0003,00001
00003,00001,-0002,00001
00007,00002,-0003,00002
00003,-0002,-0006,00000
00002,00000,-0001,00005
00001,00001,-0004,00002
00004,-0001,-0007,00001
00002,00000,-0003,00002
-0005,00004,-0005,-0001
00004,00000,00000,00002
00003,00003,-0003,00004
00001,00000,-0001,00001
00003,-0002,-0003,00001
00002,00001,-0001,00002
00002,00000,-0001,00002
00003,00001,-0002,00001
00001,-0002,-0001,00000
00001,00009,-0004,00002
00002,00001,-0001,-0001
00001,00001,-0001,00000
00003,00000,-0002,00000
00002,00000,-0002,00001
00001,00001,00000,00003
00002,00001,00000,00002
00002,00000,00000,00000
00002,00001,-0002,00001
00002,00001,-0001,00000
00000,00000,00000,00001
00002,-0001,00000,00002
00002,00001,-0002,00001
00002,00001,-0001,00001
00002,00000,-0001,00001
00001,-0001,-0002,00000
00001,-0001,-0002,00000
00002,00002,-0001,-0001
