time,delta0,delta1,delta2,delta3,delta4
0,0019,0023,0036,0043,0043,
1,0034,0030,0049,0075,0069,
2,0041,0033,0059,0088,0079,
3,0043,0034,0059,0088,0079,
4,0041,0033,0053,0079,0070,
5,0038,0031,0051,0069,0068,
6,0017,0012,0026,0033,0036,
7,0017,0012,0026,0026,0033,
8,0017,0012,0020,0024,0029,
9,0010,0009,0010,0015,0016,
10,0010,0009,0010,0015,0016,
11,0008,0009,0010,0015,0016,
12,0011,0009,0009,0003,0007,
13,0010,0009,0009,0003,0007,
14,0010,0009,0009,0003,0007,
15,0004,0008,0009,0003,0004,
16,0004,0008,0009,0003,0004,
17,0004,0008,0009,0003,0004,
18,0003,0005,0004,0004,0005,
19,0003,0005,0004,0004,0005,
20,0000,0005,0003,0004,0005,
21,0006,0008,0006,0000,0005,
22,0006,0008,0006,0000,0005,
23,0006,0008,0006,0000,0005,
24,0008,0008,0007,0001,0004,
25,0008,0008,0007,0001,0004,
26,0008,0008,0007,0001,0004,
27,0004,0005,0002,0004,0004,
28,0004,0005,0002,0004,0004,
29,0004,0005,0002,0004,0004,
