time,delta0,delta1,delta2,delta3,delta4
0,0059,0066,0078,0136,0117,
1,0059,0066,0099,0161,0152,
2,0059,0066,0119,0178,0172,
3,0059,0066,0119,0178,0172,
4,0061,0052,0085,0134,0114,
5,0061,0045,0083,0121,0113,
6,0035,0024,0049,0082,0073,
7,0016,0010,0025,0025,0025,
8,0016,0010,0021,0023,0025,
9,0016,0010,0021,0023,0025,
10,0016,0010,0012,0015,0006,
11,0016,0010,0010,0008,0005,
12,0006,0003,0010,0008,0005,
13,0005,0003,0005,-002,0005,
14,0005,0007,0004,-002,0004,
15,0005,0007,0004,-002,0004,
16,0004,0003,0000,0000,-001,
17,0004,0003,0000,0000,-001,
18,0004,0003,0000,0000,-001,
19,-001,-001,0004,0000,-001,
20,-001,-001,0004,0000,-001,
21,-001,-001,0004,0000,-001,
22,-001,0000,0005,-003,-002,
23,-001,0000,0005,-003,-002,
24,-001,0000,0005,-003,-002,
25,-002,0005,-002,-001,0000,
26,-002,0005,-002,-001,0000,
27,-002,0005,-002,-001,0000,
28,-001,0000,0002,-001,-005,
29,-001,0000,0002,-001,-005,
