time,delta0,delta1,delta2,delta3,delta4
0,0013,0013,0029,0033,0032,
1,0030,0023,0047,0079,0065,
2,0042,0032,0066,0091,0086,
3,0049,0035,0066,0094,0087,
4,0047,0034,0062,0091,0086,
5,0047,0034,0052,0083,0078,
6,0016,0016,0031,0041,0038,
7,0016,0016,0029,0041,0038,
8,0016,0016,0029,0037,0038,
9,0009,0006,0012,0011,0013,
10,0009,0006,0012,0011,0013,
11,0009,0006,0012,0011,0013,
12,0002,0008,0013,0007,0006,
13,0002,0008,0012,0007,0006,
14,0002,0008,0012,0007,0006,
15,0001,-002,0002,0003,0005,
16,0001,-002,0002,0003,0005,
17,0001,-002,0002,0003,0005,
18,0001,-001,0002,0004,0001,
19,0001,-001,0002,0004,0001,
20,0001,-001,0002,0004,0001,
21,0003,0001,0002,0004,0006,
22,0003,0001,0002,0004,0006,
23,0003,0001,0002,0004,0006,
24,0005,0001,0002,0005,0006,
25,0005,0001,0002,0005,0006,
26,0005,0001,0002,0005,0006,
27,-003,0001,0005,0002,0001,
28,-003,0001,0005,0002,0001,
29,-003,0001,0005,0002,0001,
