time,delta0,delta1,delta2,delta3,delta4
0,0014,0017,0033,0045,0045,
1,0035,0040,0062,0088,0073,
2,0035,0040,0062,0088,0073,
3,0028,0016,0034,0045,0043,
4,0016,0016,0029,0030,0032,
5,0016,0016,0029,0029,0032,
6,0009,0005,0011,0011,0011,
7,0006,0005,0011,0009,0011,
8,0006,0005,0011,0009,0011,
9,0004,0001,0006,0006,0007,
10,0002,0001,0006,0006,0007,
11,0002,0001,0006,0006,0007,
12,0002,0001,0002,0004,0001,
13,0002,0001,0002,0003,0001,
14,0002,0001,0002,0003,0001,
15,0002,0005,0004,0002,0000,
16,0001,0005,0005,0000,0000,
17,0001,0005,0005,0000,0000,
18,0000,0005,0004,0000,-001,
19,0000,0005,0004,-001,-001,
20,0000,0005,0004,-001,-001,
21,0002,0004,0006,-001,0002,
22,0002,0004,0006,0000,0002,
23,0002,0004,0006,0000,0002,
24,-001,0004,0003,0000,0002,
25,-001,0004,0003,0000,0002,
26,-001,0004,0003,0000,0002,
27,0003,-002,-001,0003,0000,
28,0002,-002,-001,-001,0000,
29,0002,-002,-001,-001,0000,
