time,delta0,delta1,delta2,delta3,delta4
0,0023,0026,0048,0066,0058,
1,0032,0024,0045,0062,0060,
2,0022,0020,0034,0039,0044,
3,0022,0020,0034,0039,0044,
4,0010,0007,0014,0024,0024,
5,0008,0007,0014,0012,0015,
6,0008,0007,0014,0012,0015,
7,0008,0001,0003,0008,0009,
8,0003,0001,0003,0004,0009,
9,0003,0001,0003,0004,0009,
10,0001,0002,0003,0003,0002,
11,0001,0002,0003,0003,0002,
12,0001,0002,0003,0003,0002,
13,0005,-001,0001,0003,0004,
14,0000,-001,0001,0001,0004,
15,0000,-001,0001,0001,0004,
16,-001,-002,0001,0001,0002,
17,-001,-002,0001,0000,0002,
18,-001,-002,0001,0000,0002,
19,0001,-002,0000,0000,0000,
20,0001,-002,0000,0002,0000,
21,0001,-002,0000,0002,0000,
22,0001,0000,0002,0005,0004,
23,0002,0000,0005,0002,0003,
24,0002,0000,0005,0002,0003,
25,0000,0004,0003,0001,-002,
26,0000,0004,0003,0001,-002,
27,0000,0004,0003,0001,-002,
28,0002,0002,0000,0004,0004,
29,-001,0002,0000,0004,0004,
