delta1,delta2,delta3,delta4
0003,0002,0006,0005,
0003,0002,0006,0005,
0003,0002,0006,0005,
-001,0001,-001,-001,
-001,0001,-001,-001,
-001,0001,-001,-001,
-001,-001,0001,0001,
-001,-001,0001,0001,
-002,-001,0001,0001,
0000,0000,-001,0000,
0000,0000,-001,0000,
0000,0000,-001,0000,
0004,0005,0005,0005,
0004,0005,0005,0005,
0004,0005,0005,0005,
-001,0001,0002,0000,
-001,0001,0002,0000,
0001,0001,0002,0000,
0001,-001,-002,-001,
0001,-001,-002,-001,
0001,-001,-002,-001,
0003,0005,0004,0002,
0003,0005,0004,0002,
0003,0005,0004,0002,
0002,0004,0005,0004,
0002,0004,0005,0004,
0002,0004,0005,0004,
0002,0003,0002,0002,
0002,0003,0002,0002,
0002,0003,0002,0002,
