delta1,delta2,delta3,delta4
0003,0003,0006,0002,
0003,0003,0006,0002,
0003,0001,0006,0000,
0003,0001,0006,0000,
0003,0001,0006,0000,
0002,-002,0000,-001,
0002,-002,0000,-001,
0002,-002,0000,-001,
0001,-001,0005,-001,
0001,-001,0005,-001,
0000,-001,0005,-001,
-001,0003,0005,-003,
-001,0003,0005,-003,
-001,0003,0005,-003,
-001,-001,0001,-001,
-001,-001,0001,-001,
-001,-001,0001,-001,
0003,-001,0002,0000,
0003,-001,0002,0000,
0003,-001,0002,0000,
0004,0006,0007,0000,
0004,0006,0007,0000,
0004,0006,0007,0000,
-002,-002,0000,-004,
-002,-002,0000,-004,
-002,-002,0000,-004,
0003,0002,0008,-001,
0003,0002,0008,-001,
0003,0002,0008,-001,
0006,0003,0009,0001,
