delta1,delta2,delta3,delta4
0001,0003,0006,0002,
0001,0003,0006,0002,
0001,0003,0006,0002,
0004,0004,0003,0002,
0004,0004,0003,0002,
0004,0004,0003,0002,
0000,0002,0001,0000,
0000,0002,0001,0000,
0000,0002,0001,0000,
-002,-001,0001,-001,
-002,-001,0001,-001,
-002,-001,0001,-001,
0004,0007,0006,0004,
0004,0007,0006,0004,
0004,0007,0006,0004,
0003,0004,0006,0002,
0003,0004,0006,0002,
0003,0004,0006,0002,
0003,0001,-002,-002,
0003,0001,-002,-002,
0003,0001,-002,-002,
0001,0000,0000,0000,
0001,0000,0000,0000,
0001,0000,0000,0000,
0003,0002,0006,0001,
0003,0002,0006,0001,
0003,0002,0006,0001,
0000,-001,0004,-002,
0000,-001,0004,-002,
0000,-001,0004,-002,
