delta1,delta2,delta3,delta4
0002,0001,0003,-003,
0002,0001,0001,0000,
0002,0001,0001,0000,
-001,0001,0001,0000,
0006,0004,0005,0002,
0006,0004,0005,0002,
0006,0004,0005,0002,
-003,0001,0002,0001,
-003,0001,0002,0001,
-003,0001,0002,0001,
0001,0002,0005,-001,
0001,0002,0005,-001,
0001,0002,0005,-001,
0002,0004,0001,0004,
0002,0004,0001,0004,
0001,0003,0000,0003,
0003,0000,0004,0001,
0003,0000,0004,0001,
0003,0000,0004,0001,
0000,0003,0002,0003,
0000,0003,0002,0003,
0000,0003,0002,0003,
-002,-001,0003,0004,
-002,-001,0003,0004,
-002,-001,0003,0004,
-005,0000,0002,-002,
-005,0000,0002,-002,
-005,0000,0002,-002,
0001,0003,0006,0001,
0001,0003,0006,0001,
