delta1,delta2,delta3,delta4
00003,00000,00000,00002
00002,00001,00002,00001
00005,-0003,00000,00001
00004,-0001,-0001,00000
00001,-0001,00002,00002
00001,00000,00000,00002
-0001,00001,-0001,00001
00002,00000,00000,00000
00003,-0001,-0001,00000
00002,00001,00000,00001
00003,00001,00000,00002
00002,00000,00002,00002
00006,00001,00001,00004
00008,00004,00002,00005
00031,00011,00006,00014
00058,00011,00006,00014
00057,00011,00006,00014
00020,00011,00006,00014
00003,00006,00007,00011
00004,00002,00003,00007
00003,00001,00003,00004
00003,00001,00002,00003
00003,00001,00001,00002
00005,-0001,00002,00007
00002,00001,-0001,00005
00002,00000,00001,00001
00003,00001,00000,00002
00002,00001,00001,00002
00001,-0002,00002,00002
00003,00002,00001,00003
00002,00001,00000,00001
00001,00000,00001,00002
00004,00001,00000,00001
00005,00003,00000,00003
00003,00000,00001,00002
00002,00003,00001,00001
00003,00003,-0001,00002
00005,-0001,-0002,00002
-0004,00001,00001,00001
00002,00000,00002,00003
00002,00001,00002,00001
00004,00002,-0001,00000
00000,00000,00000,-0001
00002,00000,00000,00000
00003,00003,00001,-0004
00002,00001,00000,00003
00001,00001,00000,00001
00001,00001,-0001,00003
00001,00000,00000,00002
00002,00000,00000,00002
00001,00000,00001,00001
00002,00001,00001,00003
00001,-0001,00000,00003
00003,00002,00000,00001
00002,00001,-0001,-0001
