delta1,delta2,delta3,delta4
00000,00002,00000,00002
00001,-0002,-0001,00001
00000,00003,00001,00001
00000,-0001,-0003,00000
00000,00001,-0002,00000
-0001,00001,-0002,00000
00000,00004,00000,00000
-0003,-0002,00005,00000
00007,00003,00001,00004
00016,00007,00002,00007
00019,00011,00004,00011
00020,00017,00015,00021
00020,00017,00015,00021
00020,00017,00015,00019
00025,00017,00015,00019
00016,00017,00015,00019
00016,00017,00018,00023
00016,00017,00018,00024
00016,00017,00018,00024
00016,00017,00018,00024
00016,00017,00018,00024
00016,00017,00018,00025
00017,00017,00017,00025
00014,00013,00015,00023
00016,00010,00011,00016
00007,00006,00007,00012
00007,00006,00007,00013
00007,00006,00007,00014
00007,00006,00007,00009
00007,00006,00007,00009
00007,00006,00007,00008
00004,00007,00003,00007
00003,00004,00002,00006
00002,00003,00001,00005
00000,00003,00000,00003
00001,00002,00000,00002
00000,00002,-0001,00002
00000,00001,-0001,00003
00001,00002,00000,00001
00002,00000,-0001,00000
00000,00002,-0001,-0001
00000,00001,00001,00000
00000,00000,00000,00001
00000,00001,00000,00002
-0001,00001,-0001,00001
-0001,00000,-0001,-0001
00000,00000,00000,00002
-0003,00001,-0002,00000
00002,00002,-0001,00000
-0008,00000,-0001,00000
-0003,00000,00000,-0001
00000,00000,00000,-0001
00000,00001,-0002,00001
-0001,00000,-0001,00001
00000,00001,-0002,00001
