delta0,delta1,delta2,delta3,delta4
0034,0040,0039,0041,0039
0070,0074,0056,0060,0059
0108,0128,0057,0070,0066
0265,0465,0102,0129,0128
0277,0466,0102,0129,0128
0283,0469,0102,0127,0128
0283,0481,0102,0127,0129
0283,0481,0102,0127,0129
0283,0481,0100,0119,0115
0283,0481,0082,0112,0106
0283,0481,0080,0102,0104
0125,0139,0064,0071,0061
0071,0079,0057,0053,0049
0071,0079,0049,0050,0046
0052,0079,0044,0038,0034
0038,0079,0044,0035,0032
0035,0079,0044,0035,0032
0028,0019,0039,0030,0021
0025,0019,0029,0023,0021
0025,0013,0029,0023,0021
0025,0010,0029,0023,0021
0025,0010,0029,0023,0021
0012,0008,0027,0019,0016
0006,0001,0017,0001,0001
0005,0001,0013,0001,0001
0003,0002,0010,-003,0001
0003,0002,0006,-003,0001
0003,0002,0006,-003,0001
-002,-003,-001,-003,0000
0000,-003,-001,0000,0000
