delta0,delta1,delta2,delta3,delta4
0017,0023,0031,0030,0029
0017,0023,0032,0031,0029
0026,0032,0035,0038,0035
0026,0032,0035,0038,0035
0032,0032,0039,0040,0037
0053,0057,0044,0046,0045
0053,0057,0044,0046,0045
0058,0057,0044,0046,0045
0056,0057,0048,0049,0046
0056,0057,0048,0049,0046
0056,0061,0048,0049,0050
0047,0051,0047,0046,0046
0047,0051,0047,0046,0046
0035,0031,0040,0042,0035
0020,0023,0031,0030,0032
0020,0023,0031,0030,0032
0011,0012,0020,0017,0019
0003,0005,0010,0009,0006
0003,0005,0010,0009,0006
0003,0005,0003,0009,0006
0001,0000,0003,0003,0003
0001,0000,0003,0003,0003
0001,0000,0005,0003,0003
0001,0003,0006,0006,0004
0001,0003,0006,0006,0004
0001,0002,0008,0006,0004
0000,0000,0006,0005,0005
0000,0000,0006,0005,0005
0000,-001,0005,0002,0005
0003,-001,0000,0000,0001
