delta0,delta1,delta2,delta3,delta4
0036,0037,0035,0039,0035
0041,0038,0040,0041,0041
0071,0071,0049,0057,0053
0075,0071,0049,0057,0053
0075,0075,0047,0056,0056
0073,0069,0045,0046,0047
0050,0053,0045,0046,0047
0032,0034,0033,0039,0035
0020,0022,0029,0029,0026
0019,0022,0029,0029,0026
0008,0010,0023,0017,0016
0007,0008,0007,0008,0009
0007,0008,0007,0008,0009
0004,0007,0003,0008,0006
0000,0003,0001,0006,0004
0000,0003,0001,0006,0004
0000,0002,0001,0004,0002
0003,0002,-002,-001,0001
0003,0002,-002,-001,0001
0003,0004,-002,-001,0001
0002,0003,-003,0002,0000
0002,0003,-003,0002,0000
0000,-001,-003,0002,0000
-001,-001,0002,0002,0001
-001,-001,0002,0002,0001
-001,-001,0002,0002,0001
0001,0002,-002,0000,0001
0001,0002,-002,0000,0001
0001,0004,-002,0000,0001
-002,0000,0001,0000,0003
