delta0,delta1,delta2,delta3,delta4
0039,0040,0041,0039,0042
0044,0041,0041,0039,0042
0048,0049,0041,0043,0043
0067,0071,0048,0053,0051
0072,0071,0048,0053,0051
0072,0078,0048,0054,0051
0074,0077,0045,0050,0049
0074,0077,0045,0050,0049
0056,0055,0045,0046,0043
0053,0053,0039,0040,0039
0037,0041,0039,0040,0039
0017,0019,0024,0025,0024
0014,0010,0017,0015,0012
0004,0003,0009,0007,0007
0004,0003,0009,0004,0003
0002,0003,-001,0000,0000
0002,0003,-001,0000,0000
0002,0000,-001,0000,0000
-002,0000,0000,-002,0000
-002,0000,0000,-002,0000
-002,0000,0000,-002,0000
-002,-001,-001,-003,0000
-002,-001,-001,-003,0000
-002,-001,-001,-003,0000
-002,-002,-003,-003,-001
-002,-002,-003,-003,-001
-002,-002,-003,-003,-001
0002,0001,0000,0001,0002
0002,0001,0000,0001,0002
0002,0001,0000,0000,0002
