delta0,delta1,delta2,delta3,delta4
0033,0031,0034,0035,0035
0033,0032,0038,0040,0035
0047,0044,0045,0046,0044
0047,0044,0045,0046,0044
0061,0062,0045,0047,0046
0076,0077,0052,0055,0052
0076,0077,0052,0055,0052
0062,0066,0046,0051,0048
0044,0040,0044,0043,0041
0044,0040,0044,0043,0041
0021,0019,0030,0026,0027
0008,0008,0018,0014,0014
0008,0008,0018,0014,0014
0008,0004,0011,0010,0010
0002,0002,0002,0002,0002
0002,0002,0002,0002,0002
0002,0002,0002,0002,0002
0001,0000,0002,0001,0002
0001,0000,0002,0001,0002
0001,0000,0002,0001,0002
0000,0000,0002,0000,-001
0000,0000,0002,0000,-001
0000,0001,0003,0000,-001
0002,-001,-001,0000,0000
0002,-001,-001,0000,0000
0002,-001,-001,0000,0000
0000,0000,0002,0001,0001
0000,0000,0002,0001,0001
0000,0000,0002,0001,0001
0001,0000,0001,-001,0001
