delta0,delta1,delta2,delta3,delta4
0022,0021,0031,0030,0029
0023,0026,0031,0034,0033
0023,0027,0031,0034,0033
0041,0047,0044,0045,0046
0055,0052,0045,0046,0049
0056,0056,0046,0054,0049
0080,0079,0059,0066,0057
0080,0079,0059,0067,0058
0080,0081,0060,0068,0058
0083,0079,0059,0068,0058
0083,0077,0059,0057,0057
0047,0046,0043,0047,0041
0037,0037,0042,0039,0037
0019,0019,0029,0027,0022
0010,0011,0021,0016,0017
0007,0010,0021,0013,0016
0005,0007,0006,0007,0008
0004,0007,0006,0007,0008
0002,0001,0009,0007,0001
0002,0001,0009,0007,0000
0002,0001,0009,0007,0000
0004,-002,0001,0006,0002
0004,0002,0002,0002,0002
0003,0002,0002,0002,0002
0001,0003,0009,0006,0002
0001,0003,0009,0006,0002
0001,0003,0008,0005,0002
0002,0003,0000,0004,0003
0002,0003,0000,0005,0003
0003,0003,0000,0005,0003
