delta0,delta1,delta2,delta3,delta4
0049,0055,0041,0045,0044
0049,0057,0046,0047,0044
0074,0084,0057,0059,0062
0097,0109,0060,0075,0065
0142,0159,0060,0078,0065
0142,0190,0060,0078,0065
0142,0190,0060,0078,0065
0136,0151,0060,0078,0065
0122,0151,0060,0078,0065
0100,0109,0060,0070,0061
0069,0070,0050,0047,0048
0054,0064,0050,0047,0048
0045,0044,0050,0047,0048
0031,0038,0050,0047,0048
0022,0022,0050,0047,0048
0020,0022,0032,0026,0028
0008,0010,0014,0012,0019
0003,0005,0011,0011,0008
0003,0005,0011,0011,0008
0002,0005,0010,0006,0006
0000,0003,0006,0005,0004
0000,0003,0006,0005,0004
0000,0002,0003,0005,0004
0000,0000,0003,-003,-002
0000,0000,0003,-003,-002
0000,-001,0003,-003,-002
0002,-001,0000,-002,-001
0002,-001,0000,-002,-001
0002,0002,0000,-002,-001
-001,0001,-003,-002,0001
