delta0,delta1,delta2,delta3,delta4
0031,0030,0033,0032,0032
0048,0047,0042,0040,0034
0051,0052,0044,0048,0049
0065,0064,0044,0048,0049
0065,0075,0044,0048,0049
0069,0078,0053,0057,0052
0075,0084,0053,0057,0052
0075,0084,0053,0057,0052
0054,0060,0046,0043,0042
0048,0053,0043,0043,0041
0040,0040,0043,0043,0041
0018,0012,0023,0021,0019
0010,0011,0023,0015,0017
0009,0008,0017,0013,0017
0004,0000,0003,0001,0002
0004,0000,0003,0001,0002
0004,0000,0002,0001,0002
0000,-001,0005,-002,-002
0000,-001,0005,-002,-002
0000,-001,0005,-002,-002
0002,-003,-003,0000,-001
0002,-003,-003,0000,-001
0002,-003,-003,0000,-001
-002,0000,0002,-001,-003
-002,0000,0002,-001,-003
-002,0000,0002,-001,-003
0000,0001,0000,-002,-003
0000,0001,0000,-002,-003
0000,0001,0000,-002,-003
0003,-002,-002,0000,-002
