delta0,delta1,delta2,delta3,delta4
0029,0033,0035,0036,0033
0031,0038,0036,0036,0033
0046,0052,0040,0046,0044
0046,0052,0040,0046,0044
0046,0044,0042,0046,0044
0042,0044,0042,0047,0041
0042,0044,0042,0047,0041
0036,0038,0034,0041,0040
0026,0032,0030,0029,0027
0026,0032,0030,0029,0027
0017,0016,0030,0027,0025
0009,0010,0018,0016,0013
0009,0010,0018,0016,0013
0007,0002,0013,0012,0006
-001,0002,0004,0003,0002
-001,0002,0004,0003,0002
-001,0002,0004,0003,0002
-002,0002,0001,0001,0000
-002,0002,0001,0001,0000
-002,0002,0001,0001,0000
-001,0005,0002,0000,0002
-001,0005,0002,0000,0002
-001,0000,0005,0000,0002
-001,0000,0000,0000,-001
-001,0000,0000,0000,-001
0001,0002,0000,0000,-001
-002,-001,0003,0002,0000
-002,-001,0003,0002,0000
-002,-001,0004,0004,0001
0002,-001,0000,0002,0001
