delta0,delta1,delta2,delta3,delta4
0021,0024,0031,0032,0030
0021,0026,0031,0037,0030
0049,0050,0041,0044,0046
0049,0050,0041,0044,0046
0054,0060,0044,0057,0047
0079,0089,0053,0061,0057
0079,0089,0053,0061,0057
0071,0078,0055,0059,0052
0064,0075,0043,0045,0043
0043,0057,0043,0045,0043
0033,0030,0036,0036,0031
0020,0025,0030,0029,0031
0020,0025,0030,0029,0031
0007,0006,0010,0010,0011
0002,0003,0005,0009,0002
0002,0003,0005,0009,0002
0001,0002,0005,0004,0002
-001,0000,-002,0002,0001
-001,0000,-002,0002,0001
-001,0000,-002,0002,-002
-002,-001,0001,-003,-002
-002,-001,0001,-003,-002
-002,-001,-003,-003,0001
-006,-002,-003,-001,0001
-006,-002,-003,-001,0001
-006,-002,-001,0001,0000
-007,-003,-003,0001,0000
-007,-003,-003,0001,0000
-007,-003,-003,0001,0001
-006,-003,-001,0001,0000
