delta1,delta2,delta3,delta4
0001,0000,0001,-001,
0001,0000,0001,-001,
0005,0005,0003,0003,
0005,0005,0003,0003,
0005,0005,0003,0003,
0000,0003,0000,0002,
0000,0003,0000,0002,
0000,0003,0000,0002,
0001,0003,0000,0003,
0001,0003,0000,0003,
0001,0003,0000,0003,
0002,-002,-002,0001,
0002,-002,-002,0001,
0002,-002,-002,0001,
0001,0000,-001,-001,
0001,0000,-001,-001,
-001,0000,-001,-001,
0000,-001,-001,-001,
0000,-001,-001,-001,
0000,-001,-001,-001,
0005,0004,0002,0002,
0005,0004,0002,0002,
0005,0004,0002,0002,
0005,0003,0007,0006,
0005,0003,0007,0006,
0005,0003,0007,0006,
0001,0001,0005,0001,
0001,0001,0005,0001,
0002,0001,0005,0001,
0007,0003,0005,0002,
