delta1,delta2,delta3,delta4
0001,0001,0003,0001,
0001,0001,0003,0001,
0001,0001,0003,0001,
-003,0002,0002,0000,
-003,0002,0002,0000,
-004,0002,0002,0000,
0003,0005,0006,0004,
0003,0005,0006,0004,
0003,0005,0006,0004,
0000,-001,0001,0002,
0000,-001,0001,0002,
0000,-001,0001,0002,
-001,0002,0004,0001,
-001,0002,0004,0001,
-001,0002,0004,0001,
-001,0001,0001,0001,
0000,0000,0000,0000,
0001,0000,0000,0000,
0001,-002,-001,0002,
0001,-002,-001,0002,
0000,-002,-001,0002,
0002,-002,-001,-001,
0002,-002,-001,-001,
0002,-002,-001,-001,
0001,0002,0004,0003,
0001,0002,0004,0003,
0001,0002,0004,0003,
0001,0001,0001,0000,
0001,0001,0001,0000,
0003,0001,0001,0000,
