delta1,delta2,delta3,delta4
0003,-001,0002,-002,
0003,-001,0000,-002,
0006,0000,0005,0005,
0006,0000,0005,0005,
0006,0000,0005,0005,
0006,0003,0003,0001,
0006,0003,0003,0001,
0006,0003,0003,0001,
0003,0002,0003,-002,
0003,0002,0003,-002,
0003,0002,0003,-002,
0003,-002,0000,-001,
0003,-002,0000,-001,
0003,-002,0000,-001,
0004,0000,-001,0000,
0004,0000,-001,0000,
0004,0000,0000,0000,
0007,0006,0004,0003,
0007,0006,0004,0003,
0007,0006,0004,0003,
0001,0001,0001,0000,
0001,0001,0001,0000,
0001,0001,0001,0000,
0001,-004,0003,0001,
0001,-004,0003,0001,
0001,-004,0003,0001,
0002,0002,0004,-001,
0002,0002,0004,-001,
0002,0002,0004,-001,
0003,0000,0002,0004,
