delta1,delta2,delta3,delta4
0001,0001,0001,0002,
0001,0001,0001,0002,
0001,0001,0001,0002,
-001,0004,0000,0000,
-001,0004,0000,0000,
-001,0004,0000,0000,
0000,0003,0003,0000,
0000,0003,0003,0000,
0000,0003,0003,0000,
0002,0001,0005,0003,
0002,0001,0005,0003,
0002,0001,0005,0003,
-001,0000,-001,-002,
-001,0000,-001,-002,
0001,0000,-001,-002,
0003,0002,0000,0001,
0003,0002,0000,0001,
0003,0002,0000,0001,
0002,0001,0001,0001,
0002,0001,0001,0001,
0002,0001,0001,0001,
0001,0000,0002,0003,
0001,0000,0002,0003,
0001,0000,0002,0003,
0003,0005,0006,0006,
0003,0005,0006,0006,
0003,0005,0006,0006,
-001,0000,0001,0003,
-001,0000,0001,0003,
0002,0000,0001,0003,
