delta1,delta2,delta3,delta4
0003,0004,0005,0000,
0003,0004,0005,0000,
0005,0006,0005,0000,
0005,0006,0005,0000,
0005,0006,0005,0000,
0004,0005,0005,0003,
0004,0005,0005,0003,
0004,0005,0005,0003,
0001,-001,0003,0001,
0001,-001,0003,0001,
0001,-001,0003,0001,
0005,0006,0003,0000,
0005,0006,0003,0000,
0005,0006,0003,0000,
0003,0007,0006,0004,
0003,0007,0006,0004,
0003,0007,0006,0004,
-001,0001,0002,0002,
-001,0001,0002,0002,
0002,0001,0002,0002,
0002,0001,0000,-004,
0002,0001,0000,-004,
0001,0001,0000,-004,
0005,0006,0008,0002,
0005,0006,0008,0002,
0005,0006,0008,0002,
0002,0002,-001,0001,
0001,0001,0000,0000,
0001,0001,0000,0000,
-002,-001,0000,-001,
