delta1,delta2,delta3,delta4
0000,-001,-003,-001,
0000,-001,-003,-001,
-002,-001,-003,-001,
0000,0002,0005,0003,
0000,0002,0005,0003,
0000,0002,0005,0003,
0001,0001,0003,-002,
0001,0001,0003,-002,
0001,0001,0003,-002,
0004,0005,0008,0002,
0004,0005,0008,0002,
0004,0005,0008,0002,
-001,0000,0000,0002,
-001,0000,0000,0002,
-001,0000,0000,0002,
0001,0002,-001,0000,
0001,0002,-001,0000,
0001,0002,-001,0000,
0003,0001,0004,0001,
0003,0001,0004,0001,
0003,0001,0004,0001,
0000,0005,0005,-001,
0000,0005,0005,-001,
0000,0005,0005,-001,
0002,0005,0004,0003,
0002,0005,0004,0003,
0002,0005,0004,0003,
-001,-002,0000,0001,
-001,-002,0000,0001,
-002,-002,0000,0001,
