delta1,delta2,delta3,delta4
0007,0005,0006,0007,
0007,0005,0006,0007,
0007,0005,0006,0007,
0002,0001,0001,-001,
0002,0001,0001,-001,
0002,0001,0001,-001,
0005,0002,0000,0007,
0005,0002,0000,0007,
0005,0002,0000,0007,
0003,-001,0002,0002,
0003,-001,0002,0002,
0003,-001,0002,0002,
0002,0002,0003,0003,
0002,0002,0003,0003,
0002,0002,0003,0003,
-001,-001,0003,-002,
-001,-001,0003,-002,
-001,-001,0003,-002,
0002,0000,0002,-001,
0002,0000,0002,-001,
0003,0000,0002,-001,
0003,0000,-001,-002,
0003,0000,-001,-002,
0001,0000,-001,-002,
0005,0004,0006,0003,
0005,0004,0006,0003,
0005,0004,0006,0003,
-001,-003,0002,0003,
-001,-003,0002,0003,
-001,-003,0002,0003,
