delta1,delta2,delta3,delta4
-001,0002,0003,0000,
0003,0003,0001,0002,
0003,0003,0001,0002,
0003,0003,0001,0002,
0001,-002,0000,0001,
0001,-002,0000,0001,
0002,-002,-002,0001,
0003,0003,0003,0005,
0003,0003,0003,0005,
0003,0003,0003,0005,
-002,-001,0001,0001,
-002,-001,0001,0001,
0002,-001,0001,0001,
0002,0005,0003,0002,
0002,0005,0003,0002,
0002,0005,0003,0002,
0000,-001,0004,0001,
0000,-001,0004,0001,
0000,-001,0004,0001,
0000,0000,0000,0000,
0000,0000,0000,0000,
0000,0000,0000,0000,
0005,0004,0003,0003,
0005,0004,0003,0003,
0005,0004,0003,0003,
0003,0000,0008,0005,
0003,0000,0008,0005,
0003,0000,0008,0005,
0001,0000,0002,-001,
0001,0000,0002,-001,
