delta1,delta2,delta3,delta4
0003,0003,0004,0006,
0003,0002,0001,0001,
0003,0002,0001,0001,
0003,0002,0001,0001,
0004,0002,0003,0000,
0004,0002,0003,0000,
0004,0002,0003,0000,
0004,0004,0006,0008,
0004,0004,0006,0008,
0004,0004,0006,0008,
0006,0005,0004,0004,
0006,0005,0004,0004,
0006,0005,0004,0004,
0005,0001,0000,0002,
0005,0001,0000,0002,
0004,0001,0000,0002,
0001,0001,0003,-002,
0001,0001,0003,-002,
0000,0001,0003,-002,
0001,-001,-001,0003,
0001,-001,-001,0003,
0001,-001,-001,0003,
0004,0001,0003,0004,
0004,0001,0003,0004,
0004,0001,0003,0004,
0004,0007,0004,0003,
0004,0007,0004,0003,
0004,0007,0004,0003,
0003,0001,0003,0004,
0003,0001,0003,0004,
